name,lat,long
Braidwood,149.79323458580757,-35.45506362754262
Karabar,149.23280174411747,-35.37594104823316
Queanbeyan,149.22546319520652,-35.35102995469765
Queanbeyan - East,149.25241255258334,-35.35516024135807
Queanbeyan West - Jerrabomberra,149.20284846752082,-35.377580426117056
Googong,149.23418920587986,-35.42803798463664
Queanbeyan Surrounds,149.3914881158662,-35.44408103635813
Bombala,149.04532871208198,-36.87791927289381
Cooma,149.11940136697697,-36.250194672975255
Cooma Surrounds,149.08219727518622,-36.127115993960516
Jindabyne - Berridale,148.60893141662444,-36.49170984663294
Batemans Bay,150.1817174533058,-35.70110625589614
Batemans Bay - South,150.210636248494,-35.783991482561
Bega - Tathra,149.90209935669532,-36.72502559958237
Bega-Eden Hinterland,149.71915846411895,-36.92870552393333
Broulee - Tomakin,150.16169490704416,-35.84600380007183
Deua - Wadbilliga,149.74638386503764,-36.17742452332135
Eden,149.89098770318088,-37.03132966765368
Eurobodalla Hinterland,150.07225465709104,-35.77459940035634
Merimbula - Tura Beach,149.8821223761318,-36.90018998572899
Moruya - Tuross Head,150.1072123399492,-35.94715168089069
Narooma - Bermagui,150.07371824494663,-36.313072072426436
Goulburn,149.71957901441732,-34.75057870998503
Goulburn Surrounds,149.60463768333148,-34.516455957631585
Yass,148.91596380558153,-34.822851843511394
Yass Surrounds,148.89320506627928,-34.87665282203338
Young,148.35307246901192,-34.321125179894
Young Surrounds,148.4956317324636,-34.309766847663994
Avoca Beach - Copacabana,151.43018247086633,-33.47540765242985
Box Head - MacMasters Beach,151.38476464567475,-33.50852196505631
Calga - Kulnura,151.17531769860983,-33.33972257458173
Erina - Green Point,151.40249991541205,-33.423236100632266
Gosford - Springfield,151.34789477468684,-33.42524573271396
Kariong,151.29453310436415,-33.43970818753996
Kincumber - Picketts Valley,151.40274752444986,-33.47044552879499
Narara,151.3342200586928,-33.396083675256435
Niagara Park - Lisarow,151.37282790372097,-33.38426817397788
Point Clare - Koolewong,151.31632571520205,-33.44817502896285
Saratoga - Davistown,151.35756556749266,-33.47748582611368
Terrigal - North Avoca,151.42761261291895,-33.44517498850117
Umina - Booker Bay - Patonga,151.29818952997564,-33.52916690703631
Wamberal - Forresters Beach,151.44995242593075,-33.40969734588709
Woy Woy - Blackwall,151.30565948593477,-33.485173757705965
Wyoming,151.36406296985356,-33.40473112799227
Bateau Bay - Killarney Vale,151.46745586335294,-33.37959483420665
Blue Haven - San Remo,151.52418054819458,-33.204048715052366
Budgewoi - Buff Point - Halekulani,151.56087260870189,-33.22662201902106
Chittaway Bay - Tumbi Umbi,151.42828603125048,-33.35447241759789
Gorokan - Kanwal - Charmhaven,151.49475524322722,-33.25792929133753
Jilliby - Yarramalong,151.32415548000205,-33.17297481403696
Lake Munmorah - Mannering Park,151.57595469121657,-33.18044927489183
Ourimbah - Fountaindale,151.33513819768436,-33.31650515983431
Summerland Point - Gwandalan,151.57690972354692,-33.14096254831498
The Entrance,151.51202767962127,-33.32908870323513
Toukley - Norah Head,151.55459210238686,-33.27305734009878
Tuggerah - Kangy Angy,151.41218193241002,-33.304866186483515
Warnervale - Wadalba,151.45815655943153,-33.24201868673068
Wyong,151.43522184853302,-33.276559738442735
Bathurst - East,149.62920183868675,-33.415254658701144
Bathurst Surrounds,149.53296778413858,-33.440431793820856
Oberon,149.77570924203405,-33.88801240362373
Bathurst - South,149.57817048671376,-33.452324885934395
Bathurst - West,149.5501397279829,-33.37477272266759
Condobolin,147.03377700068953,-32.90813807474217
Cowra,148.66104006743922,-33.79104855460371
Cowra Surrounds,148.68296509322556,-33.740188462721136
Forbes,147.92485019438718,-33.46158625221012
Grenfell,148.02599147427736,-33.87922165634207
Parkes (NSW),148.1898578139638,-33.17292963480351
Parkes Surrounds,148.00147841642766,-32.95368114075686
West Wyalong,146.98436903564584,-33.9001457667899
Lithgow,150.1247788842142,-33.47863316658018
Lithgow Surrounds,150.0514096156138,-33.30737759718814
Mudgee,149.60114502996154,-32.60393252047123
Mudgee Surrounds - East,150.02813469481282,-32.74828118080714
Mudgee Surrounds - West,149.5433510113981,-32.4057616923915
Wollangambe - Wollemi,150.38543759413162,-33.160453738846805
Blayney,149.14390319637675,-33.60784628837783
Orange,149.11262895270758,-33.30128694651191
Orange - North,149.12588014243337,-33.249408962645674
Orange Surrounds,148.84759001298067,-33.14653060205301
Grafton,152.935453994051,-29.677202640242776
Grafton Surrounds,152.7379515990264,-29.634865036058507
Maclean - Yamba - Iluka,153.2662553445228,-29.42054785756941
Bellingen,152.7198787042485,-30.447936493754693
Coffs Harbour - North,153.10420583095427,-30.282134672769377
Coffs Harbour - South,153.09581322554848,-30.31514051499655
Coramba - Nana Glen - Bucca,153.03287901963063,-30.208399194851463
Dorrigo,152.6205139735605,-30.213601329279744
Korora - Emerald Beach,153.14082455765416,-30.206107188272632
Sawtell - Boambee,153.0371133281671,-30.376110847832727
Urunga,152.99910101210364,-30.489767605199706
Woolgoolga - Arrawarra,153.16688648414666,-30.02773368042326
Bourke - Brewarrina,145.7465122059278,-29.912366306395832
Cobar,145.48468240914207,-31.87602038223625
Coonamble,148.2240135036654,-30.979663579382656
Nyngan - Warren,147.08068866585998,-31.450478164109757
Walgett - Lightning Ridge,148.06619268051503,-29.764709197892362
Broken Hill,141.47927493656076,-31.944022303282413
Far West,142.71886186492281,-31.094049595489796
Coonabarabran,149.40739382078243,-31.355121409742093
Dubbo - East,148.67082299068858,-32.24731599411091
Dubbo - South,148.6285519108492,-32.267130811740266
Dubbo - West,148.58087233021786,-32.23288967460806
Dubbo Surrounds,148.70354613719675,-32.2615428808882
Gilgandra,148.6426383650487,-31.61849011059404
Narromine,148.05324065364994,-32.18109225142472
Wellington,148.96383374117136,-32.651571048552356
Branxton - Greta - Pokolbin,151.3255138239526,-32.709866448491944
Cessnock,151.36208121115655,-32.83195077154411
Cessnock Surrounds,151.1891195241698,-32.96264121961261
Dungog,151.60829288436358,-32.34954786285414
Kurri Kurri - Abermain,151.461126589827,-32.80066493950062
Singleton,151.17728935094323,-32.5752160143615
Singleton Surrounds,151.01009889576767,-32.629398928429
Maitland,151.5388146492803,-32.7600736203325
